#{"t_start": 1669528629.1562078, "env_id": null}
r,l,t
7.0,1,6.68105
4.0,1,6.683014
6.5,1,6.686005
4.5,1,6.690991
9.0,1,6.692986
8.5,1,6.694981
4.0,1,6.697973
5.5,1,6.702992
4.0,1,6.704984
7.0,1,6.706975
2.0,1,6.709988
5.5,1,6.71393
7.5,1,6.715926
-13,1,6.71792
8.5,1,6.720912
9.0,1,6.724901
7.0,1,6.727893
7.0,1,6.729888
-13,1,6.731883
6.0,1,6.735906
4.5,1,6.738891
4.5,1,6.740887
9.5,1,6.743902
5.0,1,6.747888
6.5,1,6.750832
8.0,1,6.752851
7.5,1,6.754861
-13,1,6.759841
8.0,1,6.762834
8.0,1,6.764843
9.5,1,6.76781
10.0,1,6.771833
8.5,1,6.773794
15.0,1,6.776798
10.5,1,6.778791
5.0,1,6.783748
6.5,1,6.785741
5.5,1,6.788735
4.5,1,6.790728
8.5,1,6.794749
3.5,1,6.797742
3.5,1,6.799701
6.0,1,6.802727
1.5,1,6.807682
13.0,1,6.809716
11.5,1,6.8117
12.0,1,6.813697
9.5,1,6.819683
12.5,1,6.82168
11.0,1,6.823667
9.5,1,6.826668
12.5,1,6.830652
6.0,1,6.83361
-13,1,6.835606
-13,1,6.8386
10.5,1,6.842589
7.5,1,6.845611
2.5,1,6.847607
9.5,1,6.849569
-13,1,6.855555
6.5,1,6.85758
8.5,1,6.859564
10.0,1,6.861566
8.0,1,6.866524
11.0,1,6.869515
0.5,1,6.87151
2.5,1,6.873504
8.5,1,6.878525
4.5,1,6.880521
-11,1,6.883476
7.0,1,6.885502
4.5,1,6.889462
-13,1,6.892454
-13,1,6.894448
7.5,1,6.896443
11.0,1,6.90143
6.0,1,6.903458
7.5,1,6.905452
7.0,1,6.907436
11.5,1,6.9124
8.5,1,6.914395
-13,1,6.91639
8.0,1,6.919383
-13,1,6.924408
2.5,1,6.926362
8.5,1,6.929403
-13,1,6.931398
8.5,1,6.936336
4.0,1,6.938381
7.5,1,6.941374
7.0,1,6.943368
5.0,1,6.947361
5.5,1,6.950333
7.5,1,6.952346
2.5,1,6.955333
5.5,1,6.959345
12.0,1,6.961342
3.0,1,6.964331
-11,1,6.967287
6.5,1,6.97131
12.5,1,6.973302
1.5,1,6.976296
11.5,1,6.978294
-1.5,1,6.982248
10.0,1,6.985246
4.0,1,6.987238
11.0,1,6.990268
4.0,1,6.994249
4.5,1,6.997241
4.5,1,6.99925
4.0,1,7.001202
4.5,1,7.006188
7.0,1,7.008183
10.0,1,7.011194
9.5,1,7.01319
4.5,1,7.017205
6.0,1,7.020148
7.5,1,7.022182
8.5,1,7.02416
9.0,1,7.029156
7.0,1,7.031151
6.0,1,7.034109
5.0,1,7.036104
9.5,1,7.041095
11.0,1,7.04309
12.5,1,7.04611
12.5,1,7.048102
7.5,1,7.053102
5.0,1,7.055092
9.0,1,7.057086
6.5,1,7.059073
3.0,1,7.063068
3.0,1,7.066025
-10,1,7.068055
5.5,1,7.071045
9.0,1,7.075033
0.0,1,7.077029
8.0,1,7.079023
8.5,1,7.08201
1.5,1,7.086007
6.0,1,7.088963
7.0,1,7.090962
4.0,1,7.092956
4.5,1,7.097942
7.0,1,7.100931
9.5,1,7.102929
12.5,1,7.105921
4.5,1,7.109957
8.0,1,7.111938
4.5,1,7.114937
4.0,1,7.116889
8.0,1,7.121878
4.0,1,7.123873
4.0,1,7.125902
4.0,1,7.128891
9.0,1,7.132845
6.0,1,7.135838
6.0,1,7.13883
7.0,1,7.141855
11.5,1,7.146847
4.5,1,7.148804
9.0,1,7.151798
0.5,1,7.154809
3.0,1,7.158776
1.0,1,7.16077
8.5,1,7.163763
5.0,1,7.165757
7.0,1,7.170796
5.5,1,7.172792
9.5,1,7.174765
6.0,1,7.177776
2.5,1,7.181767
-10,1,7.183712
4.5,1,7.186761
8.5,1,7.18875
9.5,1,7.19272
4.0,1,7.194714
8.0,1,7.197707
1.5,1,7.199668
8.5,1,7.204657
9.5,1,7.206652
9.0,1,7.208647
10.5,1,7.211667
5.0,1,7.215633
8.5,1,7.218617
9.0,1,7.220614
7.5,1,7.222609
5.0,1,7.226629
8.5,1,7.228623
